Dia;Volum;Nivell;Percent;Entrada;Sortida
1986-01-01;29.8899;596.18;27.314173444;0.5856;2.0
1986-01-02;29.768;596.1;27.202778031999998;0.5894;2.0
1986-01-03;29.6312;596.01;27.077766609;0.4175;2.0
1986-01-04;29.4949;595.92;26.953212099;0.4222;2.0
1986-01-05;29.359;595.83;26.82902312;0.42700000000000005;2.0
1986-01-06;29.2536;595.76;26.732705839;0.7798;2.0
1986-01-07;29.1334;595.68;26.622863930999998;0.609;2.0
1986-01-08;29.0135;595.6;26.513296171;0.6127;2.0
1986-01-09;28.894000000000002;595.52;26.404093941;0.6164;2.0
1986-01-10;28.7748;595.44;26.295165859;0.6202;2.0
1986-01-11;28.6411;595.35;26.172987298000002;0.4521;2.0
1986-01-12;28.5225;595.27;26.064607512;0.628;2.0
1986-01-13;28.4043;595.19;25.956593255999998;0.6317;2.0
1986-01-14;28.2864;595.11;25.848853148000003;0.6354;2.0
1986-01-15;28.1688;595.03;25.741387188;0.6391;2.0
1986-01-16;28.0516;594.95;25.634286759000002;0.6428;2.0
1986-01-17;27.9346;594.87;25.527369094;0.6465;2.0
1986-01-18;27.818;594.79;25.420816961;0.6502;2.0
1986-01-19;27.7017;594.71;25.314538975;0.6539;2.0
1986-01-20;27.5857;594.63;25.208535137;0.6575;2.0
1986-01-21;27.4556;594.54;25.089646349000002;0.4941;2.0
1986-01-22;27.3115;594.44;24.957963995;0.3322;2.0
1986-01-23;27.1679;594.34;24.826738554000002;0.3379;2.0
1986-01-24;27.0248;594.24;24.695970026999998;0.3436;2.0
1986-01-25;26.8822;594.14;24.565658411999998;0.3493;2.0
1986-01-26;26.74;594.04;24.435712328;0.355;2.0
1986-01-27;26.5984;593.94;24.306314539000002;0.3607;2.0
1986-01-28;26.4573;593.84;24.177373664;0.3664;2.0
1986-01-29;26.3587;593.77;24.087270400999998;0.8598;2.0
1986-01-30;26.2324;593.68;23.971854153000002;0.5381;2.0
1986-01-31;26.1205;593.6;23.869597003000003;0.7044;2.0
1986-02-01;25.980999999999998;593.5;23.742118249;0.3855;2.0
1986-02-02;25.8559;593.41;23.627798593;0.5518;2.0
1986-02-03;25.7312;593.32;23.513844467;0.5564;2.0
1986-02-04;25.6068;593.23;23.400164489;0.5609;2.0
1986-02-05;25.4829;593.14;23.286941424000002;0.5654;2.0
1986-02-06;25.3593;593.05;23.173992506999998;0.57;2.0
1986-02-07;25.2362;592.96;23.061500503;0.5745;2.0
1986-02-08;25.1134;592.87;22.949282646;0.579;2.0
1986-02-09;24.991;592.78;22.837430321;0.5835;2.0
1986-02-10;24.8555;592.68;22.713606872;0.4314;2.0
1986-02-11;24.7474;592.6;22.614822261;0.7491;2.0
1986-02-12;24.6396;592.52;22.516311796999997;0.7527;2.0
1986-02-13;24.5187;592.43;22.405830210999998;0.601;2.0
1986-02-14;24.3983;592.34;22.295805538000003;0.6055;2.0
1986-02-15;24.2648;592.24;22.173809741;0.4558;2.0
1986-02-16;24.1319;592.14;22.052362240999997;0.4613;2.0
1986-02-17;24.0524;592.08;21.979713059;1.0794;2.0
1986-02-18;24.1186;592.13;22.040208351999997;2.767;2.0
1986-02-19;24.1319;592.14;22.052362240999997;2.1536;2.0
1986-02-20;24.1452;592.15;22.064516129;2.1536;2.0
1986-02-21;24.0921;592.11;22.015991958;1.3858;2.0
1986-02-22;24.0126;592.05;21.943342775999998;1.0804;2.0
1986-02-23;23.9202;591.98;21.858905236;0.9296;2.0
1986-02-24;23.8411;591.92;21.786621585;1.0847;2.0
1986-02-25;23.8674;591.94;21.810655213;2.3049;2.0
1986-02-26;23.8411;591.92;21.786621585;1.6951;2.0
1986-02-27;23.7885;591.88;21.738554327;1.3909;2.0
1986-02-28;23.7622;591.86;21.714520698;1.6958;2.0
1986-03-01;23.8938;591.96;21.834780225;3.5234;2.0
1986-03-02;24.0126;592.05;21.943342775999998;3.3757;2.0
1986-03-03;24.2915;592.26;22.198208900999997;5.2273;2.0
1986-03-04;24.4651;592.39;22.356849126999997;4.01;2.0
1986-03-05;24.6262;592.51;22.504066527;3.8637;2.0
1986-03-06;24.8014;592.64;22.664168875;4.0280000000000005;2.0
1986-03-07;24.9367;592.74;22.787809559;3.5664;2.0
1986-03-08;25.0182;592.8;22.862286393;2.9425;2.0
1986-03-09;25.0317;592.81;22.874623046999996;2.1573;2.0
1986-03-10;25.0453;592.82;22.887051083000003;2.1573;2.0
1986-03-11;25.0453;592.82;22.887051083000003;2.0;2.0
1986-03-12;24.991;592.78;22.837430321;1.371;2.0
1986-03-13;24.9367;592.74;22.787809559;1.8719;2.5
1986-03-14;24.8555;592.68;22.713606872;1.5178;2.4583
1986-03-15;24.7474;592.6;22.614822261;0.7491;2.0
