Dia;Dia;TM;TX;TN;HRM;PPT;PM;Volum
2007-01-01;2007-01-01;5.0;11.9;2.6;86.0;0.0;930.5;45.9998
2007-01-02;2007-01-02;4.1;9.2;0.4;90.0;0.0;931.0;45.6842
2007-01-03;2007-01-03;3.4;11.7;-1.2;85.0;0.0;931.0;45.3899
2007-01-04;2007-01-04;6.1;13.8;2.2;71.0;0.0;925.2;45.0581
2007-01-05;2007-01-05;4.8;11.9;1.2;76.0;0.0;925.6;44.7474
2007-01-06;2007-01-06;5.7;13.4;1.0;78.0;0.0;926.8;44.4769
2007-01-07;2007-01-07;7.1;14.3;1.9;71.0;0.0;924.6;44.0925
2007-01-08;2007-01-08;4.1;9.5;0.4;84.0;0.0;921.4;43.825
2007-01-09;2007-01-09;8.1;15.8;2.5;72.0;0.0;923.6;43.5207
2007-01-10;2007-01-10;6.9;13.7;4.2;84.0;0.0;925.2;43.1991
2007-01-11;2007-01-11;6.1;13.4;2.5;85.0;0.0;930.6;42.8794
2007-01-12;2007-01-12;8.6;16.7;3.7;70.0;0.0;930.7;42.5615
2007-01-13;2007-01-13;11.2;19.1;6.4;55.0;0.0;927.5;42.2454
2007-01-14;2007-01-14;8.5;15.2;4.7;76.0;0.0;928.5;41.9496
2007-01-15;2007-01-15;5.7;8.6;3.8;90.0;0.0;925.9;41.6371
2007-01-16;2007-01-16;5.9;9.1;3.1;87.0;0.0;923.4;41.3081
2007-01-17;2007-01-17;4.0;10.8;0.2;93.0;0.0;925.8;40.9992
2007-01-18;2007-01-18;5.3;12.1;0.9;85.0;0.0;927.4;40.6741
2007-01-19;2007-01-19;9.1;20.4;4.3;79.0;0.0;929.3;40.3688
2007-01-20;2007-01-20;10.4;18.8;6.4;79.0;0.0;925.5;40.1901
2007-01-21;2007-01-21;7.0;11.7;4.8;93.0;0.0;921.7;40.0475
2007-01-22;2007-01-22;5.7;7.1;2.8;96.0;9.6;909.1;39.9054
2007-01-23;2007-01-23;1.8;7.5;-0.5;79.0;1.0;901.7;39.799
2007-01-24;2007-01-24;-0.6;6.2;-5.5;44.0;0.0;905.6;39.6222
2007-01-25;2007-01-25;-2.3;4.1;-6.8;82.0;0.0;906.5;39.4812
2007-01-26;2007-01-26;-1.2;8.2;-5.2;76.0;0.0;915.2;39.323
2007-01-27;2007-01-27;-2.4;6.4;-7.7;82.0;0.0;923.0;39.1828
