Dia;TM;TX;TN;HRM;PPT;PM;Volum;Entrada;Sortida
2007-01-01;7.3;11.1;3.7;76;0.0;922.1;90.336;0.0;0.0
2007-01-02;4.6;8.6;1.2;88;0.0;922.4;90.336;0.0;0.0
2007-01-03;3.5;10.3;-0.7;80;0.0;922.3;90.336;0.0;0.0
2007-01-04;7.2;12.3;3.7;48;0.0;916.4;88.73899999999998;0.0;0.0
2007-01-05;5.7;11.3;1.4;69;0.1;916.8;91.104;7.7614;0.0
2007-01-06;6.0;12.8;1.8;76;0.0;918.0;91.291;2.2902;0.0
2007-01-07;6.9;14.1;4.0;74;0.0;915.8;91.43;1.8349;0.0
2007-01-08;5.9;13.0;2.3;74;0.0;912.6;91.588;1.3777;0.0
2007-01-09;9.6;15.8;4.5;59;0.1;914.8;91.709;2.2994;0.0
2007-01-10;9.8;15.7;5.8;58;0.0;916.1;91.97200000000001;2.3036;0.0
2007-01-11;6.4;12.5;2.9;83;0.0;921.7;92.15899999999999;1.846;0.0
2007-01-12;9.2;16.5;4.7;57;0.0;922.0;92.32700000000001;1.8489;0.0
2007-01-13;12.1;19.8;8.1;41;0.0;918.6;92.492;2.3157;0.0
2007-01-14;8.5;14.9;4.6;70;0.0;919.5;92.648;1.3919;0.0
2007-01-15;5.9;9.6;3.7;88;0.0;917.0;92.78200000000001;1.8589;0.0
2007-01-16;5.5;10.0;3.5;89;0.0;914.5;92.969;2.3289;0.0
2007-01-17;6.1;13.0;2.1;81;0.0;917.0;93.13;1.8674;0.0
2007-01-18;7.0;13.2;3.1;73;0.0;918.3;93.285;1.4032;0.0
2007-01-19;10.6;18.4;5.6;69;0.0;920.2;93.45299999999999;1.8745;0.0
2007-01-20;11.8;20.6;6.6;66;0.0;916.5;93.611;1.8787;0.0
2007-01-21;7.4;13.1;4.1;86;0.0;912.8;93.70700000000001;1.883;0.0
2007-01-22;6.5;9.2;3.3;84;5.6;900.3;93.12200000000001;2.1061;6.8055
2007-01-23;1.2;5.2;-2.2;81;0.0;892.8;92.007;2.2177;15.2454
2007-01-24;-1.3;4.0;-4.8;42;0.0;896.8;91.03;2.1364;12.722
2007-01-25;-2.4;-0.2;-5.6;78;0.0;898.0;89.99799999999998;2.0691;14.3963
2007-01-26;-0.7;7.9;-4.8;59;0.0;906.2;89.428;2.1377;10.7586
2007-01-27;0.4;7.7;-4.9;53;0.0;913.9;89.551;1.3584;0.0
2007-01-28;3.4;10.1;-2.3;41;0.0;918.0;89.671;1.3594;0.0
2007-01-29;6.6;15.5;0.7;29;0.0;911.4;89.68700000000004;1.3605;0.0
2007-01-30;4.3;11.6;1.3;56;0.0;910.2;89.17299999999999;2.1597;8.9517
2007-01-31;3.9;6.3;2.0;85;4.8;911.8;88.94;1.4307;0.5266
2007-02-01;2.2;5.6;-1.2;97;0.0;913.7;88.794;2.7847;7.7514
2007-02-02;3.3;11.6;-0.9;91;0.0;916.5;88.961;1.3531;0.0
2007-02-03;3.9;10.6;0.5;84;0.0;914.1;89.115;1.8058;0.0
2007-02-04;4.5;9.4;1.4;80;0.0;913.7;89.281;1.8077;0.0
2007-02-05;5.1;8.0;2.6;81;10.6;910.3;89.04;2.2622;0.0
2007-02-06;3.7;8.4;0.9;90;0.2;900.2;88.738;1.4298;3.6921
2007-02-07;4.2;9.8;0.9;78;0.0;896.9;87.756;1.8664;10.8859
2007-02-08;6.1;9.7;3.6;80;13.0;897.1;86.41799999999998;1.2765;14.2632
2007-02-09;5.6;12.1;2.1;81;0.0;898.6;85.625;3.0455;22.5321
2007-02-10;6.6;13.3;1.9;64;0.0;903.3;85.865;2.6418;0.0
2007-02-11;9.6;16.6;2.6;64;0.0;907.0;86.073;2.2052;0.0
2007-02-12;9.9;13.4;3.1;68;1.7;902.5;86.23299999999998;2.6508;0.0
2007-02-13;6.0;12.9;0.2;53;0.1;908.5;86.37;0.8846;0.0
2007-02-14;10.3;14.7;5.1;65;0.0;904.1;86.604;2.6573;0.0
2007-02-15;10.2;19.6;2.9;23;0.0;911.4;86.781;2.2182;0.0
2007-02-16;12.2;19.2;7.2;14;0.0;908.5;86.915;1.3325;0.0
2007-02-17;6.3;8.2;4.9;88;14.5;903.5;87.10799999999998;2.2235;0.0
2007-02-18;4.1;6.1;1.2;90;0.7;902.8;87.374;3.1187;0.0
2007-02-19;5.7;12.9;1.6;79;0.0;904.5;87.647;2.6784;0.0
2007-02-20;6.1;13.5;1.4;78;0.0;902.0;87.945;3.5788;0.0
2007-02-21;5.6;10.1;2.3;89;0.5;906.0;88.155;2.2411;0.0
2007-02-22;5.5;11.1;2.5;84;0.0;904.4;88.337;2.6938;0.0
2007-02-23;7.1;14.1;1.7;75;0.0;904.4;88.523;1.3487;0.0
2007-02-24;8.1;14.3;3.1;74;0.0;906.4;88.727;2.7007;0.0
2007-02-25;6.1;9.8;2.1;78;7.6;905.4;88.87;1.8029;0.0
2007-02-26;5.5;13.4;0.1;67;0.1;909.2;89.116;2.2564;0.0
2007-02-27;7.2;13.7;-0.1;72;0.0;912.6;89.325;2.7116;0.0
2007-02-28;10.0;16.2;6.3;77;0.0;908.8;89.559;2.7157;0.0
2007-03-01;8.7;14.9;4.0;69;0.0;906.6;89.71700000000001;1.8128;0.0
