Dia;TM;TX;TN;HRM;PPT;PM;Volum
2007-01-01;7.3;11.1;3.7;76;0.0;922.1;90.336
2007-01-02;4.6;8.6;1.2;88;0.0;922.4;90.336
2007-01-03;3.5;10.3;-0.7;80;0.0;922.3;90.336
2007-01-04;7.2;12.3;3.7;48;0.0;916.4;88.73899999999998
2007-01-05;5.7;11.3;1.4;69;0.1;916.8;91.104
2007-01-06;6.0;12.8;1.8;76;0.0;918.0;91.291
2007-01-07;6.9;14.1;4.0;74;0.0;915.8;91.43
2007-01-08;5.9;13.0;2.3;74;0.0;912.6;91.588
2007-01-09;9.6;15.8;4.5;59;0.1;914.8;91.709
2007-01-10;9.8;15.7;5.8;58;0.0;916.1;91.972
2007-01-11;6.4;12.5;2.9;83;0.0;921.7;92.159
2007-01-12;9.2;16.5;4.7;57;0.0;922.0;92.327
2007-01-13;12.1;19.8;8.1;41;0.0;918.6;92.492
2007-01-14;8.5;14.9;4.6;70;0.0;919.5;92.648
2007-01-15;5.9;9.6;3.7;88;0.0;917.0;92.782
2007-01-16;5.5;10.0;3.5;89;0.0;914.5;92.969
2007-01-17;6.1;13.0;2.1;81;0.0;917.0;93.13
2007-01-18;7.0;13.2;3.1;73;0.0;918.3;93.285
2007-01-19;10.6;18.4;5.6;69;0.0;920.2;93.453
2007-01-20;11.8;20.6;6.6;66;0.0;916.5;93.611
2007-01-21;7.4;13.1;4.1;86;0.0;912.8;93.707
2007-01-22;6.5;9.2;3.3;84;5.6;900.3;93.122
2007-01-23;1.2;5.2;-2.2;81;0.0;892.8;92.007
2007-01-24;-1.3;4.0;-4.8;42;0.0;896.8;91.03
2007-01-25;-2.4;-0.2;-5.6;78;0.0;898.0;89.99799999999998
2007-01-26;-0.7;7.9;-4.8;59;0.0;906.2;89.428
2007-01-27;0.4;7.7;-4.9;53;0.0;913.9;89.551
2007-01-28;3.4;10.1;-2.3;41;0.0;918.0;89.671
2007-01-29;6.6;15.5;0.7;29;0.0;911.4;89.68700000000003
2007-01-30;4.3;11.6;1.3;56;0.0;910.2;89.17299999999999
2007-01-31;3.9;6.3;2.0;85;4.8;911.8;88.94
2007-02-01;2.2;5.6;-1.2;97;0.0;913.7;88.794
2007-02-02;3.3;11.6;-0.9;91;0.0;916.5;88.961
2007-02-03;3.9;10.6;0.5;84;0.0;914.1;89.115
2007-02-04;4.5;9.4;1.4;80;0.0;913.7;89.281
2007-02-05;5.1;8.0;2.6;81;10.6;910.3;89.04
2007-02-06;3.7;8.4;0.9;90;0.2;900.2;88.738
2007-02-07;4.2;9.8;0.9;78;0.0;896.9;87.756
2007-02-08;6.1;9.7;3.6;80;13.0;897.1;86.41799999999998
2007-02-09;5.6;12.1;2.1;81;0.0;898.6;85.625
2007-02-10;6.6;13.3;1.9;64;0.0;903.3;85.865
2007-02-11;9.6;16.6;2.6;64;0.0;907.0;86.073
2007-02-12;9.9;13.4;3.1;68;1.7;902.5;86.23299999999998
2007-02-13;6.0;12.9;0.2;53;0.1;908.5;86.37
2007-02-14;10.3;14.7;5.1;65;0.0;904.1;86.604
2007-02-15;10.2;19.6;2.9;23;0.0;911.4;86.781
2007-02-16;12.2;19.2;7.2;14;0.0;908.5;86.915
2007-02-17;6.3;8.2;4.9;88;14.5;903.5;87.10799999999998
2007-02-18;4.1;6.1;1.2;90;0.7;902.8;87.374
2007-02-19;5.7;12.9;1.6;79;0.0;904.5;87.647
2007-02-20;6.1;13.5;1.4;78;0.0;902.0;87.945
2007-02-21;5.6;10.1;2.3;89;0.5;906.0;88.155
2007-02-22;5.5;11.1;2.5;84;0.0;904.4;88.337
2007-02-23;7.1;14.1;1.7;75;0.0;904.4;88.523
2007-02-24;8.1;14.3;3.1;74;0.0;906.4;88.727
2007-02-25;6.1;9.8;2.1;78;7.6;905.4;88.87
2007-02-26;5.5;13.4;0.1;67;0.1;909.2;89.116
2007-02-27;7.2;13.7;-0.1;72;0.0;912.6;89.325
2007-02-28;10.0;16.2;6.3;77;0.0;908.8;89.559
2007-03-01;8.7;14.9;4.0;69;0.0;906.6;89.71700000000001
2007-03-02;11.3;18.0;5.9;61;0.0;908.0;89.92399999999998
2007-03-03;11.5;18.6;6.6;70;0.0;910.4;90.101
2007-03-04;14.4;21.5;7.8;48;0.0;910.1;90.263
2007-03-05;9.0;15.3;5.3;68;0.0;912.5;90.454
2007-03-06;8.1;13.1;3.5;49;0.0;908.9;90.632
2007-03-07;5.8;12.2;1.8;75;7.2;899.3;90.804
2007-03-08;7.5;16.2;1.6;52;0.0;906.2;91.132
2007-03-09;7.7;16.5;2.0;41;0.0;916.3;91.305
2007-03-10;6.9;13.0;2.2;31;0.0;916.8;91.487
2007-03-11;7.1;14.4;2.1;39;0.0;916.5;91.679
2007-03-12;5.8;13.2;-0.3;58;0.0;915.2;91.827
2007-03-13;8.2;15.0;3.3;46;0.0;916.9;91.982
2007-03-14;10.2;16.6;5.6;46;0.0;917.9;92.126
2007-03-15;10.1;15.7;6.2;55;0.0;916.0;92.264
2007-03-16;9.8;15.2;5.9;61;0.0;914.3;92.427
2007-03-17;9.5;16.1;4.6;53;0.0;915.2;92.599
2007-03-18;8.4;17.5;1.2;65;0.0;909.1;92.721
2007-03-19;5.0;11.8;-1.8;58;0.0;892.1;92.827
2007-03-20;-0.5;5.3;-3.8;59;15.5;890.8;92.945
2007-03-21;1.4;9.8;-3.6;34;0.0;895.0;93.122
2007-03-22;1.8;9.2;-3.8;38;0.0;902.1;93.087
2007-03-23;2.8;9.1;-2.3;61;0.0;900.5;93.095
2007-03-24;3.3;8.8;0.0;81;0.6;898.2;93.265
2007-03-25;3.0;8.1;-1.4;72;0.0;901.6;93.385
2007-03-26;3.4;8.0;-0.3;88;0.8;905.3;93.516
2007-03-27;3.7;7.7;0.5;91;0.0;905.3;93.736
2007-03-28;4.0;7.0;3.0;93;6.2;903.3;93.925
2007-03-29;6.4;11.9;3.4;73;1.2;905.9;94.105
2007-03-30;5.4;13.7;1.8;82;0.0;904.0;94.197
